County,FIPS,Age,Total,Total_Male,Total_Female,NH_White_Total,NH_White_Male,NH_White_Female,NH_Black_Total,NH_Black_Male,NH_Black_Female,NH_Asian_Total,NH_Asian_Male,NH_Asian_Female,NH_Other_Total,NH_Other_Male,NH_Other_Female,Hispanic_Total,Hispanic_Male,Hispanic_Female
HEMPHILL COUNTY,211,All Ages,3838,1918,1920,2383,1174,1209,4,3,1,13,7,6,40,12,28,1398,722,676
HENDERSON COUNTY,213,All Ages,82989,40465,42524,64355,31060,33295,5538,2813,2725,349,156,193,1927,915,1012,10820,5521,5299
HIDALGO COUNTY,215,All Ages,886294,432597,453697,55403,28089,27314,3236,2102,1134,9676,4739,4937,2504,1297,1207,815475,396370,419105
HILL COUNTY,217,All Ages,37069,18404,18665,25580,12567,13013,2323,1121,1202,127,51,76,866,441,425,8173,4224,3949
HOCKLEY COUNTY,219,All Ages,22862,11352,11510,10169,4933,5236,898,445,453,69,33,36,349,179,170,11377,5762,5615
HOOD COUNTY,221,All Ages,60984,29886,31098,51418,24998,26420,265,166,99,337,135,202,1015,498,517,7949,4089,3860
HOPKINS COUNTY,223,All Ages,37312,18284,19028,27216,13081,14135,2639,1291,1348,211,104,107,909,439,470,6337,3369,2968
HOUSTON COUNTY,225,All Ages,23381,12491,10890,14246,7265,6981,5679,3146,2533,116,49,67,500,233,267,2840,1798,1042
HOWARD COUNTY,227,All Ages,36294,20987,15307,17197,9503,7694,2256,1633,623,246,155,91,631,352,279,15964,9344,6620
HUDSPETH COUNTY,229,All Ages,3680,1816,1864,732,391,341,35,25,10,13,5,8,39,13,26,2861,1382,1479
HUNT COUNTY,231,All Ages,97842,48204,49638,68959,33647,35312,8546,4096,4450,1099,513,586,2521,1161,1360,16717,8787,7930
HUTCHINSON COUNTY,233,All Ages,20550,10357,10193,14038,6987,7051,554,308,246,108,45,63,808,394,414,5042,2623,2419
IRION COUNTY,235,All Ages,1592,794,798,1122,547,575,11,5,6,4,1,3,25,12,13,430,229,201
JACK COUNTY,237,All Ages,9265,5236,4029,6995,3781,3214,366,325,41,30,17,13,131,67,64,1743,1046,697
JACKSON COUNTY,239,All Ages,14561,7212,7349,8167,3948,4219,984,459,525,56,24,32,207,101,106,5147,2680,2467
JASPER COUNTY,241,All Ages,35726,17810,17916,26215,12965,13250,5770,2798,2972,220,111,109,897,420,477,2624,1516,1108
JEFF DAVIS COUNTY,243,All Ages,2411,1186,1225,1357,641,716,9,7,2,7,2,5,57,33,24,981,503,478
JEFFERSON COUNTY,245,All Ages,251590,129544,122046,99976,50760,49216,83113,41333,41780,10474,5383,5091,4979,2537,2442,53048,29531,23517
JIM HOGG COUNTY,247,All Ages,5092,2592,2500,364,194,170,17,17,0,22,9,13,44,16,28,4645,2356,2289
JIM WELLS COUNTY,249,All Ages,40204,19890,20314,6893,3413,3480,156,89,67,137,70,67,264,139,125,32754,16179,16575
JOHNSON COUNTY,251,All Ages,174777,86829,87948,124370,60865,63505,5568,2999,2569,1033,467,566,5007,2598,2409,38799,19900,18899
JONES COUNTY,253,All Ages,19697,12501,7196,11247,6326,4921,2334,2026,308,81,35,46,324,172,152,5711,3942,1769
KARNES COUNTY,255,All Ages,15508,9047,6461,5658,3101,2557,1132,1023,109,34,14,20,154,77,77,8530,4832,3698
KAUFMAN COUNTY,257,All Ages,135410,66957,68453,87360,43109,44251,14485,7093,7392,1207,527,680,3033,1447,1586,29325,14781,14544
KENDALL COUNTY,259,All Ages,47284,23034,24250,34314,16558,17756,176,99,77,226,92,134,586,307,279,11982,5978,6004
KENEDY COUNTY,261,All Ages,390,201,189,83,42,41,1,0,1,1,1,0,9,5,4,296,153,143
KENT COUNTY,263,All Ages,759,377,382,618,302,316,7,2,5,0,0,0,13,7,6,121,66,55
KERR COUNTY,265,All Ages,52829,25535,27294,35321,16690,18631,806,467,339,442,196,246,963,483,480,15297,7699,7598
KIMBLE COUNTY,267,All Ages,4604,2268,2336,3139,1484,1655,18,13,5,20,10,10,45,24,21,1382,737,645
